country,cases,deaths,region,population,latitude,longitude
United States,107119078,1165449,North America,331002651,38.9047,-77.0163
India,44990876,531872,Asia,1380004385,28.7000,77.2000
France,40086595,167311,Europe,65273511,48.8566,2.3522
Germany,38428043,174323,Europe,83783942,52.5167,13.3833
Brazil,37601257,702907,South America,212559417,-15.7744,-48.0773
Japan,33804284,74707,Asia,126476461,35.6897,139.6922
South Korea,31728115,34804,Asia,51269185,37.5833,127.0000
Italy,25857572,190392,Europe,60461826,41.8931,12.4828
United Kingdom,24603076,225324,Europe,67886011,51.5072,-0.1275
Russia,22929149,399057,Europe,145934462,55.7558,37.6178
Turkey,17232066,102174,Asia,84339067,39.9300,32.8500
Spain,13868227,121213,Europe,46754778,40.4189,-3.6919
Vietnam,11613559,43206,Asia,97338579,21.0245,105.8412
Australia,11585286,20879,Australia/Oceania,25499884,-35.2931,149.1269
Taiwan,10239998,19005,Asia,23816775,25.0478,121.5319
Argentina,10054251,130509,South America,45195774,-34.5997,-58.3819
Netherlands,8610372,22992,Europe,17134872,52.0800,4.2700
Mexico,7621062,334167,North America,128932753,19.4333,-99.1333
Iran,7611743,146257,Asia,83992949,35.7000,51.4167
Indonesia,6807878,161773,Asia,273523615,-6.2146,106.8451
Poland,6517003,119615,Europe,37846611,52.2167,21.0333
Colombia,6367600,142748,South America,50882891,4.6126,-74.0705
Austria,6077443,22507,Europe,9006398,48.2083,16.3731
Greece,6067218,36969,Europe,10423054,37.9794,23.7161
Portugal,5588310,26759,Europe,10196709,38.7452,-9.1604
Ukraine,5553031,112352,Europe,43733762,50.4500,30.5236
Chile,5287444,64497,South America,19116201,-33.4500,-70.6667
Malaysia,5100249,37087,Asia,32365999,3.1478,101.6953
Israel,4826031,12527,Asia,8655535,31.7833,35.2167
Belgium,4799107,34336,Europe,11589623,50.8467,4.3517
North Korea,4772813,74,Asia,25778816,39.0300,125.7300
Thailand,4738988,34053,Asia,69799978,13.7500,100.5167
Peru,4507363,220673,South America,32971854,-12.0500,-77.0333
Switzerland,4405938,14452,Europe,8654622,46.9480,7.4474
Philippines,4144351,66466,Asia,109581078,14.5958,120.9772
South Africa,4076463,102595,Africa,59308690,-25.7464,28.1881
Romania,3404197,68184,Europe,19237691,44.4000,26.0833
Denmark,3181900,8708,Europe,5792202,55.6786,12.5635
Sweden,2710457,24389,Europe,10099265,59.3294,18.0686
Serbia,2541703,18052,Europe,8737371,44.8167,20.4667
Singapore,2472873,1727,Asia,5850342,1.3000,103.8000
Iraq,2465545,25375,Asia,40222493,33.3500,44.4167
New Zealand,2375191,4362,Australia/Oceania,4822233,-41.2889,174.7772
Hungary,2202887,48873,Europe,9660351,47.4983,19.0408
Bangladesh,2039244,29446,Asia,164689383,23.7161,90.3961
Slovakia,1866857,21167,Europe,5459642,48.1447,17.1128
Georgia,1842046,17070,Asia,3989167,41.7225,44.7925
Jordan,1746997,14122,Asia,10203134,31.9500,35.9333
Ireland,1712113,8960,Europe,4937786,53.3425,-6.2658
Pakistan,1581038,30660,Asia,220892340,33.6989,73.0369
Norway,1484882,5435,Europe,5421241,59.9111,10.7528
Finland,1480370,9750,Europe,5540720,60.1756,24.9342
Kazakhstan,1411831,13848,Asia,18776707,51.1333,71.4333
Slovenia,1344023,7100,Europe,2078938,46.0500,14.5167
Lithuania,1320534,9684,Europe,2722289,54.6833,25.2833
Bulgaria,1307597,38385,Europe,6948445,42.6975,23.3241
Morocco,1274180,16297,Africa,36910560,34.0253,-6.8361
Croatia,1273795,18255,Europe,4105267,45.8000,15.9500
Guatemala,1252690,20201,North America,17915568,14.6099,-90.5252
Lebanon,1237556,10914,Asia,6825445,33.8869,35.5131
Costa Rica,1232576,9374,North America,5094118,9.9333,-84.0833
Bolivia,1199246,22384,South America,11673021,-16.4942,-68.1475
Tunisia,1153323,29420,Africa,11818619,36.8008,10.1800
Cuba,1114203,8530,North America,11326616,23.1367,-82.3589
United Arab Emirates,1067030,2349,Asia,9890402,24.4781,54.3686
Ecuador,1062275,36019,South America,17643054,-0.2186,-78.5097
Panama,1040230,8624,North America,4314767,9.0000,-79.5000
Uruguay,1038774,7634,South America,3473730,-34.8667,-56.1667
Mongolia,1008655,2179,Asia,3278290,47.9203,106.9172
Nepal,1003340,12031,Asia,29136808,27.7167,85.3667
Belarus,994037,7118,Europe,9449323,53.9022,27.5618
Latvia,977891,6344,Europe,1886198,56.9475,24.1069
Saudi Arabia,841469,9646,Asia,34813871,24.6500,46.7100
Azerbaijan,831849,10274,Asia,10139177,40.3667,49.8352
Paraguay,810581,19931,South America,7132538,-25.3000,-57.6333
Bahrain,721891,1564,Asia,1701575,26.2167,50.5831
Sri Lanka,672459,16872,Asia,21413249,6.9167,79.8333
Kuwait,665931,2570,Asia,4270571,29.3750,47.9800
Dominican Republic,661176,4384,North America,10847910,18.4764,-69.8933
Cyprus,660854,1364,Asia,1207359,35.1725,33.3650
Moldova,620574,12118,Europe,4033963,47.0056,28.8575
Estonia,618931,3001,Europe,1326535,59.4372,24.7450
Venezuela,552695,5856,South America,28435940,10.5000,-66.9333
Egypt,516023,24613,Africa,102334404,30.0561,31.2394
Qatar,513500,690,Asia,2881053,25.3000,51.5333
Libya,507263,6437,Africa,6871292,32.8752,13.1875
China,503302,5272,Asia,1439323776,39.9050,116.3914
Ethiopia,500899,7574,Africa,114963588,9.0272,38.7369
Honduras,472619,11116,North America,9904607,14.0942,-87.2067
Armenia,449203,8750,Asia,2963243,40.1814,44.5144
Oman,399449,4628,Asia,5106626,23.6139,58.5922
Zambia,343995,4058,Africa,18383955,-15.4167,28.2833
Kenya,343074,5688,Africa,53771296,-1.2864,36.8172
Albania,334726,3602,Europe,2877797,41.3300,19.8200
Botswana,329905,2801,Africa,2351627,-24.6569,25.9086
Luxembourg,319959,1232,Europe,625978,49.6106,6.1328
Brunei,306333,225,Asia,437479,4.9167,114.9167
Montenegro,291898,2828,Europe,628066,42.4397,19.2661
Algeria,271838,6881,Africa,43851044,36.7764,3.0586
Nigeria,266675,3155,Africa,206139589,9.0556,7.4914
Zimbabwe,265030,5695,Africa,14862924,-17.8292,31.0522
Uzbekistan,253662,1637,Asia,33469203,41.3000,69.2667
Mozambique,233417,2243,Africa,31255435,-25.9153,32.5764
Afghanistan,221822,7915,Asia,38928346,34.5328,69.1658
Laos,218247,758,Asia,7275560,17.9667,102.6000
Iceland,209191,229,Europe,341243,64.1475,-21.9350
Kyrgyzstan,206890,2991,Asia,6524195,42.8667,74.5667
El Salvador,201785,4230,North America,6486205,13.6989,-89.1914
Maldives,186651,315,Asia,540544,4.1750,73.5083
Ghana,171657,1462,Africa,31072940,5.6037,-0.1870
Namibia,171310,4091,Africa,2540905,-22.5700,17.0836
Uganda,170775,3632,Africa,45741007,0.3136,32.5811
Jamaica,154993,3549,North America,2961167,17.9714,-76.7931
Cambodia,138781,3056,Asia,16718965,11.5696,104.9210
Rwanda,133194,1468,Africa,12952218,-1.9536,30.0606
Cameroon,125036,1972,Africa,26545863,3.8578,11.5181
Malta,118756,837,Europe,441543,35.8978,14.5125
Barbados,107794,593,North America,287375,13.0975,-59.6167
Angola,105384,1934,Africa,32866272,-8.8383,13.2344
Senegal,88997,1971,Africa,16743927,14.7319,-17.4572
Malawi,88728,2686,Africa,19129952,-13.9833,33.7833
Suriname,82513,1405,South America,586632,5.8667,-55.1667
Guyana,73240,1298,South America,786552,6.7833,-58.1667
Belize,70782,688,North America,397628,17.2500,-88.7675
Fiji,68921,883,Australia/Oceania,896445,-18.1333,178.4333
Madagascar,68288,1425,Africa,27691018,-18.9386,47.5214
Sudan,63993,5046,Africa,43849260,15.6031,32.5265
Cabo Verde,63934,414,Africa,555987,14.9177,-23.5092
Mauritania,63715,997,Africa,4649658,18.0783,-15.9744
Bhutan,62671,21,Asia,771608,27.4833,89.6333
Syria,57608,3164,Asia,17500658,33.5131,36.2919
Burundi,53762,38,Africa,11890784,-3.3825,29.3611
Seychelles,50937,172,Africa,98347,-4.6236,55.4544
Gabon,48992,307,Africa,2225734,0.3901,9.4544
Andorra,48015,165,Europe,77265,42.5000,1.5000
Papua New Guinea,46864,670,Australia/Oceania,8947024,-9.4789,147.1494
Tanzania,43078,846,Africa,59734218,-6.8000,39.2833
Mauritius,42518,1049,Africa,1271768,-20.1667,57.5000
Togo,39499,290,Africa,8278724,6.1319,1.2228
Guinea,38563,468,Africa,13132795,9.5092,-13.7122
Lesotho,34790,723,Africa,2142249,-29.3100,27.4800
Haiti,34246,860,North America,11402528,18.5425,-72.3386
Mali,33148,743,Africa,20250833,12.6458,-7.9922
Saint Lucia,30052,409,North America,183627,14.0167,-60.9833
Benin,28014,163,Africa,12123200,6.4000,2.5200
Somalia,27334,1361,Africa,15893222,2.0408,45.3425
Solomon Islands,24575,153,Australia/Oceania,686884,-9.4333,159.9500
San Marino,24285,125,Europe,33931,43.9320,12.4484
Timor-Leste,23450,138,Asia,1318445,-8.5586,125.5736
Burkina Faso,22056,396,Africa,20903273,12.3572,-1.5353
Liechtenstein,21446,94,Europe,38128,47.1415,9.5215
Grenada,19693,238,North America,112523,12.0444,-61.7417
Nicaragua,18491,225,North America,6624554,12.1500,-86.2667
South Sudan,18368,138,Africa,11193725,4.8500,31.6000
Tajikistan,17786,125,Asia,9537645,38.5731,68.7864
Equatorial Guinea,17229,183,Africa,1402985,3.7521,8.7737
Tonga,16817,13,Australia/Oceania,105695,-21.1347,-175.2083
Monaco,16793,67,Europe,39242,43.7396,7.4069
Samoa,16763,31,Australia/Oceania,198414,-13.8333,-171.8333
Marshall Islands,16098,17,Australia/Oceania,59190,7.1167,171.3667
Dominica,15760,74,North America,71986,15.3000,-61.3833
Djibouti,15690,189,Africa,988000,11.5950,43.1481
Central African Republic,15368,113,Africa,4829767,4.3732,18.5628
Gambia,12626,372,Africa,2416668,13.4531,-16.5775
Vanuatu,12019,14,Australia/Oceania,307145,-17.7500,168.3000
Yemen,11945,2159,Asia,29825964,15.3500,44.2000
Eritrea,10189,103,Africa,3546421,15.3333,38.9167
Niger,9931,312,Africa,24206644,13.5086,2.1111
Guinea-Bissau,9614,177,Africa,1968001,11.8592,-15.5956
Comoros,9109,161,Africa,869601,-11.7036,43.2536
Liberia,8090,295,Africa,5057681,6.3106,-10.8047
Sierra Leone,7762,126,Africa,7976983,8.4833,-13.2331
Chad,7701,194,Africa,16425864,12.1100,15.0500
Palau,6009,9,Australia/Oceania,18094,7.5006,134.6242
Kiribati,5029,24,Australia/Oceania,119449,1.3382,173.0176
Tuvalu,2805,0,Australia/Oceania,11792,-8.5167,179.2167
